Column,Season,Episode,Scene,StartTime,EndTime,SpeakerNames
0,1,1,1,0,58.28,none
1,1,1,2,58.28,114.36,none
2,1,1,3,114.36,186.36,none
3,1,1,4,186.36,258.52,will
3,1,1,4,186.36,258.52,waymar_royce
3,1,1,4,186.36,258.52,gared
4,1,1,5,258.52,337.4,will
4,1,1,5,258.52,337.4,waymar_royce
4,1,1,5,258.52,337.4,gared
5,1,1,6,337.4,363.96,none
6,1,1,7,363.96,391.4,none
7,1,1,8,391.4,418.8,none
8,1,1,9,418.8,514.44,none
9,1,1,10,514.44,557.44,none
10,1,1,11,557.44,642.96,jon_snow
10,1,1,11,557.44,642.96,robb_stark
10,1,1,11,557.44,642.96,sansa_stark
10,1,1,11,557.44,642.96,septa_mordane
10,1,1,11,557.44,642.96,will
10,1,1,11,557.44,642.96,eddard_stark
11,1,1,12,642.96,698.8,catelyn_stark
11,1,1,12,642.96,698.8,rodrik_cassel
11,1,1,12,642.96,698.8,eddard_stark
12,1,1,13,698.8,822.8,jon_snow
12,1,1,13,698.8,822.8,will
12,1,1,13,698.8,822.8,robb_stark
12,1,1,13,698.8,822.8,eddard_stark
13,1,1,14,822.8,874.16,jon_snow
13,1,1,14,822.8,874.16,bran_stark
13,1,1,14,822.8,874.16,eddard_stark
13,1,1,14,822.8,874.16,theon_greyjoy
14,1,1,15,874.16,1049.72,jon_snow
14,1,1,15,874.16,1049.72,rodrik_cassel
14,1,1,15,874.16,1049.72,robb_stark
14,1,1,15,874.16,1049.72,bran_stark
14,1,1,15,874.16,1049.72,eddard_stark
14,1,1,15,874.16,1049.72,theon_greyjoy
15,1,1,16,1049.72,1060.84,none
16,1,1,17,1060.84,1090.92,none
17,1,1,18,1090.92,1165.68,cersei_lannister
17,1,1,18,1090.92,1165.68,jaime_lannister
18,1,1,19,1165.68,1173.64,none
19,1,1,20,1173.64,1187.4,none
20,1,1,21,1187.4,1278.8,catelyn_stark
20,1,1,21,1187.4,1278.8,eddard_stark
21,1,1,22,1278.8,1332.16,jon_snow
21,1,1,22,1278.8,1332.16,robb_stark
21,1,1,22,1278.8,1332.16,maester_luwin
21,1,1,22,1278.8,1332.16,catelyn_stark
21,1,1,22,1278.8,1332.16,theon_greyjoy
22,1,1,23,1332.16,1379.84,catelyn_stark
22,1,1,23,1332.16,1379.84,robb_stark
