Author Name,Affiliation
A. E. Mynett,"Dept. of Comput. Sci., State Univ. of New York, Stony Brook, NY, USA"
A. J. Bladek,"Appl. Phys. Lab., Washington Univ., Seattle, WA, USA"
A. J. Fenlon,"Sch. of Mech. Eng., Leeds Univ., UK"
A. James Stewart,"Sch. of Comput., Queen''s Univ., Kingston, Ont., Canada"
A. Johannes Pretorius,"Sch. of Comput., Univ. of Leeds, Leeds, UK"
A. Mankofsky,"Sci. Applications Int. Corp., McLean, VA, USA"
A. Ravishankar Rao,"IBM T.J. Watson Res. Center, Yorktown Heights, NY, USA"
Aaron Barsky,"Dept. of Comput. Sci., Univ. of British Columbia, Vancouver, BC"
Aaron E. Lefohn,"Sch. of Comput. & Imaging Inst., Utah Univ., Salt Lake, UT, USA"
Aaron Knoll,SCI InstituteUniversity of UtahArgonne National Laboratory
Aaron Trott,"NSF Eng. Res. Center for CFS, Mississippi State Univ., MS, USA"
Aarthy Sankari Bhaskar,University of Arizona
Aba-Sah Dadzie,"Dept. of Inf. Studies, Univ. of Sheffield, Sheffield, UK"
Abdelkrim Mebarki,"INRIA Sophia-Antipolis, France"
Abdul Waheed,"Dept. of Electr. Eng., Michigan State Univ., E. Lansing, MI, USA"
Abish Malik,"Purdue Univ., West Lafayette, IN, USA"
Adalberto L. Simeone,"Univ. of Bari, Bari"
Adam B. Forgang,"Dept. of Comput. Eng., California Univ., Davis, CA, USA"
Adam Huang,"Diagnostic Radiol. Dept., Nat. Inst. of Health, Bethesda, MD, USA"
Adam Hunter,"Johns Hopkins Univ., MD, USA"
Adam Perer,"IBM Res., Yorktown Heights, NY, USA"
Adel Ahmed,"University of Sydney,"
Aditi Majumder,"Dept. of Comput. Sci., North Carolina Univ., Chapel Hill, NC, USA"
Adrian Maries,"Dept. of Comput. Sci., Univ. of Pittsburgh, Pittsburgh, PA, USA"
Ahmed Saad,"Med. Image Anal. Lab. (MIAL), Simon Fraser Univ., Burnaby, BC, Canada"
Aidan Slingsby,"giCentre, City University, London"
Aidong Lu,"Purdue Univ., West Lafayette, IN, USA"
Aili Li,"Comput. Sci. Dept., State Univ. of New York, Stony Brook, NY, USA"
Alan Chu,"Chinese Univ. of Hong Kong, Hong Kong, China"
Alan D. Kalvin,"IBM Thomas J. Watson Res. Center, Yorktown Heights, NY, USA"
Alan Keahey,Visintuit LLC
Alan M. MacEachren,"GeoVISTA Center, Pennsylvania State Univ., University Park, PA, USA"
Alan Wilson,Adobe Systems Inc.
Alark Joshi,"Yale Univ., New Haven, CT"
Alessandro Giusti,"Dalle Molle Inst. for Artificial Intell., Lugano, Switzerland"
Alethea Bair,"Texas A&M Univ., College Station"
Alexander Bock,Linkoping University
Alexander Kachkaev,"giCentre, City Univ. London, London, UK"
Alexander Lex,"Hendrik Strobelt & Hanspeter Pfister, Harvard Univ., Cambridge, MA, USA"
Alexander Pilhofer,"Univ. of Augsburg, Augsburg, Germany"
